code,airport,latitude,longitude
ATL,Hartsfield-Jackson Atlanta International Airport,33.6367,-84.4281
MIA,Miami International Airport,25.7932,-80.2906
LAX,Los Angeles International Airport,33.9425,-118.408
OAK,Oakland International Airport,37.7213,-122.221
DFW,Dallas/Fort Worth International Airport,32.8968,-97.038
DEN,Denver International Airport,39.8617,-104.673
CLT,Charlotte Douglas International Airport,35.214,-80.9431
PHL,Philadelphia International Airport,39.8719,-75.2411
BOS,Logan International Airport,42.3643,-71.0052
IAD,Washington Dulles International Airport,38.9445,-77.4558
SFO,San Francisco International Airport,37.619,-122.375
ORD,Chicago O'Hare International Airport,41.9786,-87.9047
DTW,Detroit Metro Wayne County Airport,42.2125,-83.3533
EWR,Newark Liberty International Airport,40.6925,-74.1686
JFK,John F. Kennedy International Airport,40.6397,-73.7789
LGA,LaGuardia Airport,40.775,-73.875
