startingAirport,destinationAirport,distance_min,distance_max,distance_std,distance_mean
ATL,BOS,600.0,2030.0,195.73202085520245,998.0329952998532
ATL,CLT,228.0,1675.0,484.1695762249356,662.6247303254854
ATL,DEN,762.0,2383.0,417.97176469567347,1546.1284886332044
ATL,DFW,725.0,1965.0,329.8564848712272,907.0458412306607
ATL,DTW,604.0,1966.0,360.2059583920323,973.100300769055
ATL,EWR,762.0,2105.0,207.93132134969056,828.1171669493817
ATL,IAD,541.0,1902.0,211.39909751048242,621.6423414875624
ATL,JFK,762.0,1700.0,336.1119311789474,962.9338950727796
ATL,LAX,1610.0,3064.0,233.55579012759264,2086.6986550084807
ATL,LGA,762.0,2110.0,272.4656131725149,869.9462869452099
ATL,MIA,596.0,1866.0,597.3153103629058,1146.8223338894088
ATL,OAK,1439.0,2948.0,236.80902392100563,2422.4476637420935
ATL,ORD,586.0,1809.0,398.30913605346615,963.9113243515326
ATL,PHL,667.0,2023.0,300.89094952749906,872.1970835975002
ATL,SFO,762.0,3328.0,410.35064017047506,2480.410744418484
