startingAirport,destinationAirport,distance_min,distance_max,distance_std,distance_mean
BOS,ATL,185.0,2030.0,239.84984821322757,1022.0769620895144
BOS,CLT,185.0,1912.0,185.79471318503215,780.8410145611125
BOS,DEN,709.0,2976.0,254.64279221984236,1906.512451474899
BOS,DFW,1556.0,2413.0,182.6788659012523,1643.1565259538631
BOS,DTW,622.0,2185.0,190.3381122967844,763.9671573380343
BOS,EWR,185.0,1709.0,558.9431462390577,540.2374241581861
BOS,IAD,342.0,1488.0,327.29921671714254,683.7592592592592
BOS,JFK,121.0,1465.0,142.5238894722908,239.09309521012023
BOS,LAX,1089.0,3599.0,193.57006799751886,2701.316598570922
BOS,LGA,185.0,1856.0,361.23084497919933,401.14989465235277
BOS,MIA,1260.0,2671.0,122.03907374268287,1303.9790397558581
BOS,OAK,2275.0,3480.0,210.6545602785506,3024.6165569453588
BOS,ORD,495.0,2113.0,125.02607588003093,901.9266385964912
BOS,PHL,280.0,1614.0,148.52319089262372,308.08671310290447
BOS,SFO,992.0,3842.0,196.0842008897145,2810.5344234079175
