startingAirport,destinationAirport,distance_min,distance_max,distance_std,distance_mean
CLT,ATL,228.0,1675.0,474.13512326662226,687.4931778217998
CLT,BOS,728.0,2052.0,145.4704058157692,768.9185255528208
CLT,DEN,545.0,2969.0,362.2557412088663,1665.8633537745823
CLT,DFW,930.0,2284.0,338.4437818821404,1188.5181408314488
CLT,DTW,505.0,1925.0,267.2833295608104,846.2716780496239
CLT,EWR,545.0,1756.0,275.9614416620632,739.5284869632645
CLT,IAD,327.0,1201.0,240.68841658201592,555.0601104686286
CLT,JFK,545.0,1939.0,277.56616422525974,719.3703464799115
CLT,LAX,1828.0,3003.0,329.56365631132684,2410.6117535227017
CLT,LGA,545.0,1756.0,260.8541854471432,653.9951214117184
CLT,MIA,652.0,1988.0,425.11498167707174,999.6611510327716
CLT,OAK,1088.0,3102.0,233.7718021869721,2590.6316981987084
CLT,ORD,592.0,2000.0,330.5831650157509,958.0190994161401
CLT,PHL,449.0,1908.0,314.87531730537927,783.5605313556905
CLT,SFO,1095.0,3426.0,340.6841805132088,2668.8879737894135
