startingAirport,destinationAirport,distance_min,distance_max,distance_std,distance_mean
DEN,ATL,903.0,2710.0,422.8488155544797,1555.5974374005527
DEN,BOS,1473.0,2976.0,240.5848924617123,1916.6173737179179
DEN,CLT,1346.0,2514.0,325.5845951285239,1675.370534738315
DEN,DFW,650.0,2146.0,456.18256170084555,999.6193454242235
DEN,DTW,1142.0,2508.0,412.99120392878206,1566.5993753394894
DEN,EWR,1621.0,3269.0,288.72778715313075,1826.871335794671
DEN,IAD,1473.0,2675.0,205.7981722929966,1689.050735834241
DEN,JFK,1621.0,2820.0,385.4863303287054,1972.2852622441264
DEN,LAX,590.0,2259.0,360.85886167597204,1042.640825345888
DEN,LGA,1621.0,2820.0,207.1062708613713,1783.04583984375
DEN,MIA,1716.0,3187.0,403.73145184858527,2086.9342963565205
DEN,OAK,943.0,2543.0,324.41732848166276,1343.0650384472071
DEN,ORD,903.0,2593.0,421.36652378174074,1235.222705076984
DEN,PHL,1567.0,2775.0,332.4700075960283,1856.0733139695126
DEN,SFO,954.0,2279.0,273.5202046399169,1168.8480845687957
