startingAirport,destinationAirport,distance_min,distance_max,distance_std,distance_mean
DFW,ATL,725.0,2142.0,395.3793898022951,943.1258494567805
DFW,BOS,1556.0,2413.0,139.65922770256256,1616.1956884000772
DFW,CLT,930.0,1996.0,345.6957662434753,1173.4858685244494
DFW,DEN,650.0,2313.0,482.4322127216332,1020.5519946710089
DFW,DTW,995.0,2478.0,368.00527357445645,1295.6306390977443
DFW,EWR,1380.0,2271.0,118.29197441829,1465.1148418114144
DFW,IAD,785.0,2123.0,153.99735068658356,1340.628957655695
DFW,JFK,994.0,3011.0,209.56376293933857,1505.4940116032967
DFW,LAX,1193.0,2454.0,211.92540890863359,1424.1463230767297
DFW,LGA,1380.0,2271.0,158.1102061464631,1465.3950532334138
DFW,MIA,636.0,2484.0,342.1733105434338,1339.4085426464696
DFW,OAK,905.0,3067.0,268.4802247966715,1849.6229853045745
DFW,ORD,799.0,2312.0,363.73977753264205,1099.0451629509366
DFW,PHL,799.0,2217.0,237.11589781610144,1481.1140314062882
DFW,SFO,1468.0,2860.0,253.21143881510946,1668.8251149304695
