startingAirport,destinationAirport,distance_min,distance_max,distance_std,distance_mean
DTW,ATL,604.0,2099.0,340.47718747586737,978.311658851213
DTW,BOS,622.0,2185.0,187.61561832942027,757.6422473204551
DTW,CLT,505.0,1925.0,268.3466905998347,850.8423311635476
DTW,DEN,1142.0,2508.0,391.09622492076335,1490.4820902141869
DTW,DFW,995.0,2268.0,324.350486287595,1263.2239603822923
DTW,EWR,485.0,1694.0,255.62929621861213,722.0794435014549
DTW,IAD,391.0,1474.0,236.19039011336963,594.0061771101008
DTW,JFK,485.0,2176.0,263.8370960508588,752.8535747583296
DTW,LAX,1948.0,3170.0,376.98435139163246,2316.228379192856
DTW,LGA,485.0,2014.0,237.01107512346502,674.6945809208964
DTW,MIA,1153.0,2110.0,201.9625140383758,1446.7131315284587
DTW,OAK,2072.0,3163.0,249.15142242609184,2423.966315725414
DTW,ORD,240.0,1794.0,417.37047536048914,473.18706336241354
DTW,PHL,447.0,1856.0,301.77172030506387,767.4184629667237
DTW,SFO,2083.0,3398.0,376.8714515776466,2448.8613273126966
