startingAirport,destinationAirport,distance_min,distance_max,distance_std,distance_mean
EWR,ATL,762.0,2110.0,204.67614851920945,824.1849157449335
EWR,BOS,185.0,1709.0,472.5667603181909,409.2042285714286
EWR,CLT,545.0,1756.0,278.2769985806428,754.9210664067435
EWR,DEN,1621.0,2834.0,228.1321957162917,1797.3054422487583
EWR,DFW,1380.0,2271.0,141.7071243967734,1475.9163259000782
EWR,DTW,485.0,1480.0,263.1246468401849,730.9810879073492
EWR,IAD,221.0,1979.0,372.14176736697925,765.8251770766259
EWR,LAX,2427.0,3443.0,161.3042435394775,2564.64714810395
EWR,LGA,185.0,185.0,0.0,185.0
EWR,MIA,1104.0,2663.0,246.09285094599295,1244.7173524979714
EWR,OAK,2557.0,3636.0,199.97360128771632,2901.031977891828
EWR,ORD,720.0,2296.0,175.31797060676524,801.141403222856
EWR,PHL,97.0,2082.0,437.88189204362686,973.8441595383708
EWR,SFO,2566.0,3686.0,156.92815886974964,2672.148685258964
