startingAirport,destinationAirport,distance_min,distance_max,distance_std,distance_mean
IAD,ATL,541.0,1902.0,194.83580158319805,608.1590872111942
IAD,BOS,406.0,3104.0,327.4214753812597,705.9155767662428
IAD,CLT,327.0,1186.0,230.340563821848,571.7975801805262
IAD,DEN,1017.0,2612.0,191.43319855018134,1697.949138877069
IAD,DFW,594.0,2123.0,180.19027608372747,1361.0012702445222
IAD,DTW,391.0,3104.0,280.533466817489,614.9196713829301
IAD,EWR,221.0,1838.0,358.3115572970568,755.8757109810858
IAD,JFK,221.0,1303.0,223.83251450282944,694.0703988995873
IAD,LAX,462.0,3270.0,189.50990932305115,2483.7410624310187
IAD,LGA,221.0,3104.0,352.8626155322526,794.4508087684586
IAD,MIA,923.0,2421.0,285.1696509439941,1194.7810897989748
IAD,OAK,1768.0,3519.0,235.31396054386508,2827.2428492938175
IAD,ORD,594.0,1976.0,213.64371075258182,829.1496313013357
IAD,PHL,318.0,3104.0,329.2079282579287,790.1410319571714
IAD,SFO,1971.0,3363.0,175.31072405066064,2619.461634099339
