startingAirport,destinationAirport,distance_min,distance_max,distance_std,distance_mean
JFK,ATL,451.0,2105.0,355.5833282527525,956.1590206554894
JFK,BOS,185.0,1465.0,142.52994461251382,242.3704724802717
JFK,CLT,545.0,1756.0,286.1427522021674,715.839814649795
JFK,DEN,735.0,2820.0,388.08113943874895,1968.3385071279833
JFK,DFW,815.0,2219.0,211.30418840728777,1548.481507852551
JFK,DTW,485.0,2137.0,269.3917877702208,709.5633903952206
JFK,IAD,221.0,1303.0,230.90239987723635,692.624903697997
JFK,LAX,2414.0,3443.0,243.68480196824893,2595.339606261997
JFK,MIA,1104.0,2663.0,186.13413428818671,1169.8089373124901
JFK,OAK,2557.0,3501.0,226.1353754261808,2861.984860070347
JFK,ORD,720.0,2262.0,298.9598655675982,964.2756466927679
JFK,PHL,348.0,1436.0,326.83315817895357,690.760480620739
JFK,SFO,2566.0,3686.0,187.19698100177422,2648.0098199110716
