startingAirport,destinationAirport,distance_min,distance_max,distance_std,distance_mean
LAX,ATL,1459.0,3064.0,294.50087456869034,2128.5698983615175
LAX,BOS,339.0,3599.0,300.2904417520979,2730.349076688322
LAX,CLT,1403.0,3113.0,325.0939899658576,2397.0417995927833
LAX,DEN,347.0,2259.0,444.62974321282996,1115.390925216308
LAX,DFW,997.0,2544.0,242.632724490016,1423.9970826039844
LAX,DTW,1948.0,3170.0,364.1523435936688,2303.988238977956
LAX,EWR,524.0,3443.0,203.9835596221245,2588.34373882389
LAX,IAD,745.0,3270.0,206.77189080320107,2488.6390441155822
LAX,JFK,524.0,3443.0,330.12887910539536,2673.5904519591063
LAX,LGA,1383.0,3443.0,265.22879461523513,2652.794983751203
LAX,MIA,2295.0,3562.0,391.0350984824187,2616.8038016030555
LAX,OAK,338.0,1770.0,455.3725600205142,1282.639562748252
LAX,ORD,1250.0,2889.0,332.89534357078225,2008.1118779561655
LAX,PHL,1293.0,3355.0,232.20743453205762,2580.1450853553456
LAX,SFO,339.0,1781.0,275.27345841496725,443.3602798943668
