startingAirport,destinationAirport,distance_min,distance_max,distance_std,distance_mean
LGA,ATL,762.0,2110.0,279.9195937906898,876.2472920353982
LGA,BOS,185.0,1856.0,322.7467444499414,357.9698406223185
LGA,CLT,545.0,1756.0,260.25931273784886,655.209663356745
LGA,DEN,720.0,2820.0,249.28629198788423,1788.0634419216847
LGA,DFW,1380.0,2271.0,165.24265812597613,1464.59898450991
LGA,DTW,485.0,2137.0,219.2785899608436,656.9377444018598
LGA,IAD,221.0,1927.0,364.1496397403335,781.8979255763653
LGA,LAX,720.0,3443.0,272.38321188732493,2610.1106413785706
LGA,MIA,1104.0,2512.0,297.81530102924035,1247.2147571134913
LGA,OAK,1058.0,3542.0,308.94728224773684,2931.228271484375
LGA,ORD,720.0,1946.0,94.13056361347857,753.1427249320725
LGA,PHL,348.0,2082.0,402.066064005225,1068.9368087850248
LGA,SFO,1059.0,3686.0,237.3145044869521,2785.523335560009
