startingAirport,destinationAirport,distance_min,distance_max,distance_std,distance_mean
OAK,ATL,2150.0,3104.0,264.37650456203727,2470.936202968163
OAK,BOS,677.0,3587.0,374.8340231434616,2994.0840589144764
OAK,CLT,1839.0,3204.0,255.69607917184905,2688.34523532424
OAK,DEN,943.0,2701.0,321.22838873549733,1328.6853952240722
OAK,DFW,1467.0,3104.0,302.5344139761432,1927.3492419665718
OAK,DTW,2072.0,3268.0,271.43699346031644,2442.496862822799
OAK,EWR,2557.0,3659.0,219.51247602423,2886.103976545402
OAK,IAD,2424.0,3473.0,216.6507965231521,2790.0736618309156
OAK,JFK,862.0,3691.0,230.81950321430435,2832.980710064951
OAK,LAX,338.0,1770.0,437.38468951784637,1284.120799389002
OAK,LGA,1909.0,3761.0,234.10809549576507,2988.5211975407647
OAK,MIA,2558.0,3513.0,359.0710060503942,3120.5937443744374
OAK,ORD,1839.0,3056.0,240.37298476664117,2177.6817359855336
OAK,PHL,2083.0,3256.0,222.85531971678674,2843.224380997512
OAK,SFO,677.0,2205.0,260.0026813858747,894.4450852965069
