startingAirport,destinationAirport,distance_min,distance_max,distance_std,distance_mean
ORD,ATL,572.0,2110.0,410.65636616474137,980.4193703486914
ORD,BOS,862.0,2113.0,97.81508330509863,891.7647316307432
ORD,CLT,592.0,2249.0,331.4527800575983,967.8723527611808
ORD,DEN,903.0,2558.0,340.95871370142356,1146.0599637462235
ORD,DFW,771.0,2312.0,355.07760855213604,1078.0036060919938
ORD,DTW,240.0,1794.0,376.93356561207577,402.1993838375859
ORD,EWR,720.0,2296.0,178.45628804379393,795.8819844937555
ORD,IAD,594.0,2115.0,212.59990961735755,851.3153549952526
ORD,JFK,720.0,2197.0,286.1264781655329,932.8500276562579
ORD,LAX,1709.0,2889.0,323.9828698331039,1990.4402286270217
ORD,LGA,720.0,1946.0,106.00412181032112,759.6051017113335
ORD,MIA,1192.0,2619.0,304.4507067611206,1525.4492694090723
ORD,OAK,1839.0,3220.0,243.85697504389475,2190.7622844991265
ORD,PHL,672.0,1891.0,304.1111877055513,872.9635042283298
ORD,SFO,1847.0,3433.0,310.29364707901044,2067.443734248877
