startingAirport,destinationAirport,distance_min,distance_max,distance_std,distance_mean
PHL,ATL,667.0,2023.0,335.87508351977465,890.4834323537622
PHL,BOS,280.0,1614.0,364.48506101755976,406.0604036507068
PHL,CLT,449.0,1908.0,319.1351679067449,776.7783283348546
PHL,DEN,672.0,2775.0,340.6660295440842,1808.157855634629
PHL,DFW,1298.0,2217.0,226.96441242140594,1480.1864199737815
PHL,DTW,447.0,1856.0,282.64105540269856,760.7851978008845
PHL,EWR,97.0,2082.0,422.85890785274125,983.5874176631767
PHL,IAD,318.0,1266.0,308.4179892009743,895.1123464221223
PHL,JFK,348.0,1436.0,380.3663985918969,715.0459706833666
PHL,LAX,672.0,3355.0,261.1502973527514,2523.8186203380524
PHL,LGA,348.0,2082.0,416.8261282951019,1037.281713109768
PHL,MIA,1016.0,2481.0,274.0020046161031,1268.265344243326
PHL,OAK,1349.0,3193.0,249.85554739557332,2828.079000369929
PHL,ORD,672.0,2262.0,305.0027809114017,854.9148868188856
PHL,SFO,672.0,3598.0,316.357635927355,2716.957760848864
