startingAirport,destinationAirport,distance_min,distance_max,distance_std,distance_mean
SFO,ATL,1642.0,3328.0,447.9744335561603,2546.5129103954414
SFO,BOS,2047.0,3881.0,167.91050583426158,2801.8366389672833
SFO,CLT,1847.0,3752.0,336.261574878962,2662.08968065595
SFO,DEN,954.0,2517.0,330.94912742344616,1222.786264103195
SFO,DFW,1468.0,2860.0,375.7608761332042,1754.6884176533908
SFO,DTW,2083.0,3398.0,385.13424359959856,2475.865535347386
SFO,EWR,1862.0,3687.0,186.35368303745202,2710.98134119381
SFO,IAD,2405.0,3483.0,181.7233726186069,2633.3847088897232
SFO,JFK,665.0,4430.0,209.8266316569019,2656.5809764223036
SFO,LAX,339.0,1781.0,273.65090669395653,441.35824172084
SFO,LGA,954.0,3687.0,254.163272630921,2797.8916098830787
SFO,MIA,2515.0,3958.0,467.4946238927696,3053.7859490606106
SFO,OAK,677.0,2432.0,235.7537230671876,852.8570102657854
SFO,ORD,1847.0,3286.0,283.5800229076819,2082.642491526596
SFO,PHL,954.0,3599.0,326.8840904733494,2729.1728991037357
