startingAirport,destinationAirport,totalFare
ATL,BOS,321.6125651315054
ATL,CLT,310.18752922199366
ATL,DEN,380.60546135922334
ATL,DFW,275.63959665939075
ATL,DTW,311.9880072793449
ATL,EWR,249.71428108210011
ATL,IAD,268.51358775193165
ATL,JFK,321.977976135131
ATL,LAX,448.5606513370679
ATL,LGA,228.30378212184476
ATL,MIA,267.1714770890501
ATL,OAK,637.2641213403095
ATL,ORD,267.3943524725715
ATL,PHL,288.6986506148324
ATL,SFO,569.5849252330399
BOS,ATL,278.2715450926924
BOS,CLT,199.55814017972503
BOS,DEN,384.8041627094227
BOS,DFW,276.5480858216895
BOS,DTW,256.92197107081176
BOS,EWR,184.44725126320625
BOS,IAD,266.1903023301224
BOS,JFK,184.13166696788963
BOS,LAX,443.7603547781586
BOS,LGA,145.9254295230964
BOS,MIA,219.45493035358948
BOS,OAK,675.5412538478627
BOS,ORD,212.73678898074652
BOS,PHL,230.0359129802448
BOS,SFO,507.5763108436147
CLT,ATL,309.04583140138215
CLT,BOS,235.68360889511212
CLT,DEN,437.35944355024145
CLT,DFW,323.37139239672035
CLT,DTW,294.4608173988622
CLT,EWR,251.41333708910113
CLT,IAD,225.13808668889462
CLT,JFK,276.04761293260475
CLT,LAX,492.51340863346326
CLT,LGA,209.49860844225518
CLT,MIA,267.42413387635116
CLT,OAK,701.4168478942544
CLT,ORD,263.2811069345832
CLT,PHL,307.4477680919817
CLT,SFO,613.8847526715055
DEN,ATL,370.46758364806135
DEN,BOS,428.4212988330797
DEN,CLT,398.19023958622756
DEN,DFW,275.734447826087
DEN,DTW,382.0683762088975
DEN,EWR,394.17561417145663
DEN,IAD,445.85537098922083
DEN,JFK,509.7704128132772
DEN,LAX,264.57991899335747
DEN,LGA,316.10093277139305
DEN,MIA,390.8226053010818
DEN,OAK,394.5093249084469
DEN,ORD,374.33194128017357
DEN,PHL,433.60532697115195
DEN,SFO,335.4835027058976
DFW,ATL,274.41136600141226
DFW,BOS,332.347337167206
DFW,CLT,322.7190941704036
DFW,DEN,319.8369869352841
DFW,DTW,337.8041926825554
DFW,EWR,331.7638726986473
DFW,IAD,359.472187787301
DFW,JFK,362.00898443107843
DFW,LAX,321.521898517055
DFW,LGA,264.1736569035705
DFW,MIA,291.4958848757856
DFW,OAK,488.0252486676637
DFW,ORD,326.08739336720794
DFW,PHL,372.4126984956902
DFW,SFO,432.5708320277846
DTW,ATL,298.59796426073893
DTW,BOS,269.78717008081867
DTW,CLT,289.43216262843123
DTW,DEN,368.4264036162289
DTW,DFW,324.0512894699388
DTW,EWR,253.09970742442877
DTW,IAD,220.25854649700747
DTW,JFK,369.25034841014286
DTW,LAX,446.6644821047125
DTW,LGA,208.63217612695092
DTW,MIA,275.49090860142684
DTW,OAK,595.2888058530847
DTW,ORD,234.47754051647374
DTW,PHL,313.5809904738936
DTW,SFO,587.2495690193629
EWR,ATL,213.96386923737714
EWR,BOS,168.27526121248405
EWR,CLT,239.48602363029707
EWR,DEN,378.70948956920114
EWR,DFW,298.534258394588
EWR,DTW,260.8067368224609
EWR,IAD,322.0907284680081
EWR,LAX,425.7978686859264
EWR,LGA,151.42434782608697
EWR,MIA,223.6189334910673
EWR,OAK,592.31390654044
EWR,ORD,243.46556433359765
EWR,PHL,417.1787881120723
EWR,SFO,494.4906463664907
IAD,ATL,248.27451861102162
IAD,BOS,324.0257564289758
IAD,CLT,228.32230575868374
IAD,DEN,425.04154334409526
IAD,DFW,336.2799173363288
IAD,DTW,246.53692218875503
IAD,EWR,319.3960673274835
IAD,JFK,388.40459045632906
IAD,LAX,498.6801940819351
IAD,LGA,397.94913846876153
IAD,MIA,316.9844906308111
IAD,OAK,719.0154926995561
IAD,ORD,328.33668222593093
IAD,PHL,389.7438978837536
IAD,SFO,584.3304398730938
JFK,ATL,284.34772045371386
JFK,BOS,201.30904762850165
JFK,CLT,266.1942404501562
JFK,DEN,510.2160392995801
JFK,DFW,381.1052370637298
JFK,DTW,326.5385788526884
JFK,IAD,394.43765490547327
JFK,LAX,441.55015633257426
JFK,MIA,199.42593689226834
JFK,OAK,583.191024309058
JFK,ORD,426.9439140333616
