startingAirport,destinationAirport,n1
ATL,BOS,0.26282441515200455
ATL,CLT,0.5237048812418178
ATL,DEN,0.34405825242718446
ATL,DFW,0.5784378855461706
ATL,DTW,0.28644860559040913
ATL,EWR,0.5005938354227543
ATL,IAD,0.5679244511671641
ATL,JFK,0.396792189679219
ATL,LAX,0.2526307940384203
ATL,LGA,0.4632757639020687
ATL,MIA,0.4990414614893057
ATL,OAK,0.0
ATL,ORD,0.41195298468979497
ATL,PHL,0.4172076682196594
ATL,SFO,0.17214202485758676
BOS,ATL,0.23229168957403296
BOS,CLT,0.29660438714922405
BOS,DEN,0.14965051755415645
BOS,DFW,0.209177955883396
BOS,DTW,0.19844867999013077
BOS,EWR,0.6502756086357373
BOS,IAD,0.19848346784691487
BOS,JFK,0.8625820832580275
BOS,LAX,0.2947394962691794
BOS,LGA,0.6559554855534613
BOS,MIA,0.3432514217758363
BOS,OAK,0.0
BOS,ORD,0.6540553159932984
BOS,PHL,0.5201551327111865
BOS,SFO,0.30610125378512976
CLT,ATL,0.4910688657790731
CLT,BOS,0.3767710079775964
CLT,DEN,0.24358786763937373
CLT,DFW,0.18842108038280034
CLT,DTW,0.24934813527180782
CLT,EWR,0.5351432557141325
CLT,IAD,0.5128238009746089
CLT,JFK,0.40972677595628415
CLT,LAX,0.1114085049890797
CLT,LGA,0.45781310963714394
CLT,MIA,0.17402088373089997
CLT,OAK,0.0
CLT,ORD,0.2750320973904435
CLT,PHL,0.2611407529871496
CLT,SFO,0.0733117725084579
DEN,ATL,0.33586380975878233
DEN,BOS,0.17676623541349568
DEN,CLT,0.24963132360170126
DEN,DFW,0.5396618357487922
DEN,DTW,0.23735493230174082
DEN,EWR,0.26017141571378893
DEN,IAD,0.24538304982537248
DEN,JFK,0.1244866027772345
DEN,LAX,0.3871577469352487
DEN,LGA,0.3506804552459108
DEN,MIA,0.13314726645870958
DEN,OAK,0.02869664405355106
DEN,ORD,0.42690534309736916
DEN,PHL,0.13878417523114162
DEN,SFO,0.3184278088694335
DFW,ATL,0.5666369346266771
DFW,BOS,0.23647198282766796
DFW,CLT,0.2142301943198804
DFW,DEN,0.5223315493023581
DFW,DTW,0.27124419401507655
DFW,EWR,0.3590110207884844
DFW,IAD,0.1807289658649426
DFW,JFK,0.3729610653201653
DFW,LAX,0.3964435373558851
DFW,LGA,0.5294700866664334
DFW,MIA,0.26214495724651365
DFW,OAK,0.0
DFW,ORD,0.3785404010450895
DFW,PHL,0.18865866957470012
DFW,SFO,0.2817153966666037
DTW,ATL,0.265024029519856
DTW,BOS,0.23186099911406824
DTW,CLT,0.24181490568931147
DTW,DEN,0.23948941591532732
DTW,DFW,0.28938860988552956
DTW,EWR,0.3380154055278659
DTW,IAD,0.5441834733189157
DTW,JFK,0.30229925538337693
DTW,LAX,0.13165351584637516
DTW,LGA,0.42643648094864417
DTW,MIA,0.14143414802992135
DTW,OAK,0.006029559548028138
DTW,ORD,0.7533748886910062
DTW,PHL,0.2553720004823345
DTW,SFO,0.08464222056336741
EWR,ATL,0.5062708790684356
EWR,BOS,0.7368092250826457
EWR,CLT,0.4841954254581795
EWR,DEN,0.24725220708232565
EWR,DFW,0.3455996794723622
EWR,DTW,0.3250528760419691
EWR,IAD,0.23666560204407538
EWR,LAX,0.2771299146893885
EWR,LGA,0.9130434782608695
EWR,MIA,0.519740139955487
EWR,OAK,0.0
EWR,ORD,0.5018525192820587
EWR,PHL,0.08836936042624745
EWR,SFO,0.3978179649541317
IAD,ATL,0.5551885272317112
IAD,BOS,0.18108406090765516
IAD,CLT,0.45380103595368676
IAD,DEN,0.21323933144451032
IAD,DFW,0.1736225121691293
IAD,DTW,0.543574297188755
IAD,EWR,0.23765030874228144
IAD,JFK,0.12515435062975058
IAD,LAX,0.15277976958745637
IAD,LGA,0.149591423812558
IAD,MIA,0.05564296953225576
IAD,OAK,0.0002572843635428057
IAD,ORD,0.19628142275998747
IAD,PHL,0.00026166879272560754
IAD,SFO,0.23455122300685702
JFK,ATL,0.41415619791031427
JFK,BOS,0.8522900990688718
JFK,CLT,0.40024140869071284
JFK,DEN,0.14082877743443467
JFK,DFW,0.3069276864523443
JFK,DTW,0.3461637303332286
JFK,IAD,0.14670036147276158
JFK,LAX,0.5909025395635755
JFK,MIA,0.7630394029118559
JFK,OAK,0.0
JFK,ORD,0.20362446513969293
JFK,PHL,0.0
JFK,SFO,0.7278765217094367
LAX,ATL,0.24174120346304828
LAX,BOS,0.2641747860491869
LAX,CLT,0.10932999373825923
LAX,DEN,0.3686437952636386
LAX,DFW,0.4181697186653816
LAX,DTW,0.1284690899442823
LAX,EWR,0.24794328887230668
LAX,IAD,0.13444874759689057
LAX,JFK,0.5051682083851075
LAX,LGA,0.0012432866748424748
LAX,MIA,0.15102378443303757
LAX,OAK,0.17778875399693245
LAX,ORD,0.32301321238414515
LAX,PHL,0.10611517039335797
LAX,SFO,0.8333772045275072
LGA,ATL,0.4669337394888073
LGA,BOS,0.7086707789573804
LGA,CLT,0.43564782507559896
LGA,DEN,0.39032144118685974
LGA,DFW,0.5440930780418034
LGA,DTW,0.4512372634643377
LGA,IAD,0.16384340066679742
LGA,LAX,0.0011914119058453647
LGA,MIA,0.48612352235300127
LGA,OAK,0.0
LGA,ORD,0.7607462012275076
LGA,PHL,0.0
LGA,SFO,0.0
MIA,ATL,0.5152282780256825
MIA,BOS,0.37181571815718156
MIA,CLT,0.18713680685511672
MIA,DEN,0.13235079260720287
MIA,DFW,0.24535580144147803
MIA,DTW,0.14981751824817519
MIA,EWR,0.5058418274847911
MIA,IAD,0.06262125115287981
MIA,JFK,0.8161572723084012
MIA,LAX,0.16598170655306352
MIA,LGA,0.5062275644512129
MIA,OAK,0.0
MIA,ORD,0.24088748019017434
MIA,PHL,0.24684499314128944
MIA,SFO,0.06629372242567548
OAK,ATL,0.0001913006049881633
OAK,BOS,0.0
OAK,CLT,0.0
OAK,DEN,0.024228624059765645
OAK,DFW,0.00015502974633257758
OAK,DTW,0.005907977130411108
OAK,EWR,0.0
OAK,IAD,0.0
OAK,JFK,0.0
OAK,LAX,0.1800010646225913
OAK,LGA,0.0
OAK,MIA,0.0
OAK,ORD,0.013326926967428687
OAK,PHL,0.03657473588787002
OAK,SFO,0.0
ORD,ATL,0.38731335805190903
ORD,BOS,0.6866510471317072
