startingAirport,destinationAirport,flight_day_of_week,w1
ATL,BOS,0,-2.071281041767064
ATL,BOS,1,-57.68395038296367
ATL,BOS,2,-49.098614545107736
ATL,BOS,3,-16.123880667761853
ATL,BOS,4,15.981498638216586
ATL,BOS,5,30.42804134853631
ATL,BOS,6,78.56818665167114
ATL,CLT,0,5.165484036951981
ATL,CLT,1,-29.31429671518706
ATL,CLT,2,-21.154700330843575
ATL,CLT,3,13.764410404115617
ATL,CLT,4,15.217449014085693
ATL,CLT,5,-11.385476702266152
ATL,CLT,6,27.707130293710673
ATL,DEN,0,10.923851564748395
ATL,DEN,1,-30.654192817902043
ATL,DEN,2,-15.970175192979431
ATL,DEN,3,8.793202561218282
ATL,DEN,4,-1.1530353485780942
ATL,DEN,5,-26.623784063316172
ATL,DEN,6,54.684133297737034
ATL,DFW,0,35.392436535456206
ATL,DFW,1,-42.51834233917326
ATL,DFW,2,-36.187133025925355
ATL,DFW,3,4.2983965417627825
ATL,DFW,4,-2.952278556802833
ATL,DFW,5,-24.052848366774533
ATL,DFW,6,66.0197692124592
ATL,DTW,0,4.947273872408416
ATL,DTW,1,-49.52255001211325
ATL,DTW,2,-28.65771683822856
ATL,DTW,3,-0.12269882682548322
ATL,DTW,4,28.624368149943
ATL,DTW,5,2.140950679673479
ATL,DTW,6,42.59037297586194
ATL,EWR,0,16.71948556455736
ATL,EWR,1,-45.59053158608869
ATL,EWR,2,-43.846102205276495
ATL,EWR,3,-16.507097467846425
ATL,EWR,4,4.695286819594235
ATL,EWR,5,13.524532108776292
ATL,EWR,6,71.00442676700763
ATL,IAD,0,0.7641438844360151
ATL,IAD,1,-33.34781079955007
ATL,IAD,2,-15.578238448495364
ATL,IAD,3,7.302071700067584
ATL,IAD,4,5.107623537088293
ATL,IAD,5,-17.69754496320428
ATL,IAD,6,53.44975509052096
ATL,JFK,0,-0.9425438310402331
ATL,JFK,1,-30.910987301925484
ATL,JFK,2,-30.507691762195975
ATL,JFK,3,-17.59449669316241
ATL,JFK,4,13.316048152434576
ATL,JFK,5,6.1294755919590225
ATL,JFK,6,60.510195844684716
ATL,LAX,0,7.557296683401044
ATL,LAX,1,-38.806910792520576
ATL,LAX,2,-19.97657900187074
ATL,LAX,3,3.671163917201931
ATL,LAX,4,-2.3314971072142403
ATL,LAX,5,-17.09984728906268
ATL,LAX,6,66.98637359102955
ATL,LGA,0,8.739436641257976
ATL,LGA,1,-47.9057217163956
ATL,LGA,2,-49.0009581483875
ATL,LGA,3,-21.164851600545163
